#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_001;You are on your usual evening stroll around a lake near your castle when suddenly the cover of clouds makes way for a beam of moonlight shining on the lake. In the light, you notice a raised hand holding aloft a sword. You feel the wind getting stronger and a faint whisper calling your name from the lake.;You are on your usual evening stroll around a lake near your castle when suddenly the cover of clouds makes way for a beam of moonlight shining on the lake. In the light, you notice a raised hand holding aloft a sword. You feel the wind getting stronger and a faint whisper calling your name from the lake.;You are on your usual evening stroll around a lake near your castle when suddenly the cover of clouds makes way for a beam of moonlight shining on the lake. In the light, you notice a raised hand holding aloft a sword. You feel the wind getting stronger and a faint whisper calling your name from the lake.;;You are on your usual evening stroll around a lake near your castle when suddenly the cover of clouds makes way for a beam of moonlight shining on the lake. In the light, you notice a raised hand holding aloft a sword. You feel the wind getting stronger and a faint whisper calling your name from the lake.;;;;;;;;;x
EVTDESC_Pythonic_011;It would appear that the knights are afraid of the word 'It'. How curious.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_011;It. It! IT!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_012;After several days of searching, you do manage to find a man selling shrubberies. For a price of 10 gold, he'd be willing to sell you some of his finest specimens.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_012;Pay the man.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_Pythonic_012;Haggle the price down.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC_Pythonic_012;Plead the man to give you one for free.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_013;You successfully deliver the shrubbery to the knights, however, they do not seem to be completely satisfied. The leader of the group is about to issue more demands.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_013;What is it now?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_014;After failing to acquire a shrubbery, you return to the knights, who do not seem happy about the lack of shrubbery. In a desperate attempt to plead for your life, you blame the salesman.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_014;It wasn't my fault!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_015;You have heard rumours of Bridge of Death and that the Holy Grail is supposed to be somewhere beyond that. After a week of searching, you manage to locate the bridge. The bridge crosses a seemingly bottomless chasm and on the edge of the bridge, you see a scruffy old man leaning on his cane. He must be the keeper of the bridge. As you approach the bridge, he calls out to you: "Stop! Who would cross the Bridge of Death must answer me these questions three, 'ere the other side he see.";FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_015;Turn away. You have no intention to die here.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_Pythonic_015;Ask me the questions, bridge-keeper, I'm not afraid.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_016;"What is your name?" the old man asks.\n"[Root.GetTitledName]", you answer proudly.\n"What is your quest?"\n"To find the Holy Grail."\n"What is the air-speed velocity of an unladen swallow?";FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_016;Try to give your best guess.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_Pythonic_016;European or an African swallow?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC_Pythonic_016;Around 198 furlongs per hour.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTD_Pythonic_016;Decide not to answer and just run away.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bridge_of_death_death_desc;died on the Bridge of Death;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_Pythonic_004_TT;You will not get further events on the Holy Grail event chain;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC_Pythonic_005_TT_A;you winning the duel.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC_Pythonic_005_TT_B;you losing the duel.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_017;Despite years of searching, the Holy Grail still eludes you. Maybe it is time to give up the hunt and settle down...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_017;It was still a grand adventure.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_018;As you realize that you are about to die, you call upon your squire. The young lad is saddened by your state, but you instruct him to return Excalibur to the lake whence it came from. Tears rolling down his face, he promises to return it to the Lady of the Lake.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_018;Time to put the blade to rest.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_006_TT;The Black Knight should trouble you no more.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_Pythonic_011_TT;You've learned a way to keep the Knight of Ni out of your way.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_Pythonic_019;You have successfully crossed the Bridge of Death.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
